1	欢迎来到本服	1
2	巨蛙	2
3	章鱼	3
4	海星	4
5	本服长久开放	5
6	树怪	6
7	野猪	7
8	大海龟宝宝	1
9	巨蛙宝宝	2
10	大海龟头领	1
11	巨蛙头领	2
12	海星头领	4
13	海星宝宝	4
14	章鱼头领	3
15	章鱼宝宝	3
16	海毛虫头领	5
17	海毛虫宝宝	5
18	野猪	7
19	野猪头领	7
20	野猪宝宝	7
21	树怪	8
22	树怪头领	8
23	树怪宝宝	8
24	老虎	9
25	老虎头领	9
26	老虎宝宝	9
27	黑熊	10
28	黑熊头领	10
29	黑熊宝宝	10
30	小龙女	11
31	小龙女头领	11
32	小龙女宝宝	11
33	古代瑞兽	12
34	古代瑞兽头领	12
35	古代瑞兽宝宝	12
36	白熊	13
37	白熊头领	13
38	白熊宝宝	13
39	天将	14
40	天将头领	14
41	天将宝宝	14
42	狼	15
43	狼头领	15
44	狼宝宝	15
45	花妖	16
46	花妖头领	16
47	花妖宝宝	16
48	泡泡宝宝	17
49	狐狸精	18
50	狐狸精头领	18
51	狐狸精宝宝	18
52	蜘蛛精	19
53	蜘蛛精头领	19
54	蜘蛛精宝宝	19
55	雷鸟人	20
56	雷鸟人头领	20
57	雷鸟人宝宝	20
58	蝴蝶仙子	21
59	蝴蝶仙子头领	21
60	蝴蝶仙子宝宝	21
61	牛妖	22
62	牛妖头领	22
63	牛妖宝宝	22
64	蛤蟆精	23
65	蛤蟆精头领	23
66	蛤蟆精宝宝	23
67	虾兵	24
68	虾兵头领	24
69	虾兵宝宝	24
70	蟹将	25
71	蟹将头领	25
72	蟹将宝宝	25
73	龟丞相	26
74	龟丞相头领	26
75	龟丞相宝宝	26
76	黑熊精	27
77	黑熊精头领	27
78	黑熊精宝宝	27
79	赌徒	28
80	赌徒头领	28
81	赌徒宝宝	28
82	强盗	29
83	强盗头领	29
84	强盗宝宝	29
85	山贼	30
86	山贼头领	30
87	山贼宝宝	30
88	黑山老妖	31
89	黑山老妖头领	31
90	黑山老妖宝宝	31
91	天兵	32
92	天兵头领	32
93	天兵宝宝	32
94	风伯	33
95	风伯头领	33
96	风伯宝宝	33
97	蛟龙	34
