1	建邺城	1	0	0	0	3	0	0	0	0
2	东海湾	0	0	0	1	0	3000	1	0	0
3	东海海底	0	0	0	0	0	3000	4	0	0
4	沉船	0	0	0	0	0	3000	4	0	0
5	沉船内室	0	1	0	0	0	0	0	0	0
6	江南野外	0	0	0	0	0	3000	10	0	0
7	傲来国	0	0	0	0	0	0	0	0	0
8	花果山	0	0	0	0	0	3000	37	0	0
9	东海岩洞	0	0	0	0	0	3000	5	0	0
10	女儿村	0	0	0	1	5	0	0	0	0
11	北俱芦洲	0	0	0	0	0	3000	59	0	0
12	长寿村郊外	0	0	0	1	1	3000	34	0	0
13	天宫	0	0	0	1	3	0	0	0	0
14	大唐境外	0	0	0	0	0	3000	25	0	0
15	五庄观	0	0	0	0	3	0	0	0	0
16	盘丝岭	0	0	0	0	0	3000	43	0	0
17	狮驼岭	0	0	0	0	0	3000	55	0	0
18	魔王寨	0	0	0	0	0	3000	37	0	0
19	大唐国境	0	0	0	0	0	3000	19	0	0
20	地府	0	0	0	0	0	0	0	0	0
21	龙宫	0	0	0	0	0	0	0	0	0
22	海底迷宫一层	0	1	0	0	0	3000	26	0	0
23	海底迷宫二层	0	1	0	0	0	3000	36	0	0
24	海底迷宫三层	0	1	0	0	0	3000	46	0	0
25	海底迷宫四层	0	1	0	0	0	3000	46	0	0
26	普陀山	0	0	0	0	0	3000	43	0	0
27	大唐官府	0	0	0	0	0	0	0	0	0
28	化生寺	0	0	0	0	0	0	0	0	0
29	方寸山	0	0	0	1	3	0	0	0	0
30	大雁塔一层	0	1	0	0	0	3000	10	0	0
31	大雁塔二层	0	1	0	0	0	3000	12	0	0
32	大雁塔三层	0	1	0	0	0	3000	14	0	0
33	大雁塔四层	0	1	0	0	0	3000	16	0	0
34	长安城	0	0	0	0	0	0	0	0	0
35	龙窟一层	0	0	0	0	0	3000	50	0	0
36	龙窟二层	0	0	0	0	0	3000	55	0	0
37	龙窟三层	0	0	0	0	0	3000	60	0	0
38	龙窟四层	0	0	0	0	0	3000	65	0	0
39	龙窟五层	0	0	0	0	0	3000	70	0	0
40	龙窟六层	0	0	0	0	0	3000	75	0	0
41	龙窟七层	0	0	0	0	0	3000	80	0	0
42	凤巢一层	0	0	0	0	0	3000	65	0	0
43	凤巢二层	0	0	0	0	0	3000	70	0	0
44	凤巢三层	0	0	0	0	0	3000	75	0	0
45	凤巢四层	0	0	0	0	0	3000	80	0	0
46	凤巢五层	0	0	0	0	0	3000	85	0	0
47	凤巢六层	0	0	0	0	0	3000	90	0	0
48	凤巢七层	0	0	0	0	0	3000	95	0	0
49	地狱迷宫一层	0	0	0	0	0	3000	30	0	0
50	地狱迷宫二层	0	0	0	0	0	3000	37	0	0
51	地狱迷宫三层	0	0	0	0	0	3000	41	0	0
52	地狱迷宫四层	0	0	0	0	0	3000	57	0	0
53	无名鬼蜮	0	0	0	0	0	3000	100	0	0
54	衙门	0	1	0	0	0	0	0	0	0
55	东升客栈	0	1	0	0	0	0	0	0	0
56	万宇钱庄	0	1	0	0	0	0	0	0	0
57	建业民居	0	1	0	0	0	0	0	0	0
58	李记布庄	0	1	0	0	0	0	0	0	0
59	回春堂分店	0	1	0	0	0	0	0	0	0
60	合生记	0	1	0	0	0	0	0	0	0
61	兵铁铺	0	1	0	0	0	0	0	0	0
62	建业民居	0	1	0	0	0	0	0	0	0
63	建业民居内室	0	1	0	0	0	0	0	0	0
64	水晶宫	0	1	0	0	0	0	0	0	0
65	傲来国客栈	0	1	0	0	0	0	0	0	0
66	傲来客栈二楼	0	0	0	0	0	0	0	0	0
67	傲来国武器店	0	1	0	0	0	0	0	0	0
68	傲来国杂货店	0	1	0	0	0	0	0	0	0
69	傲来国药店	0	1	0	0	0	0	0	0	0
70	傲来国民居	0	1	0	0	0	0	0	0	0
71	傲来国当铺	0	1	0	0	0	0	0	0	0
72	傲来国钱庄	0	1	0	0	0	0	0	0	0
73	傲来国服饰店	0	1	0	0	0	0	0	0	0
74	圣殿	0	1	0	0	0	0	0	0	0
75	女儿村村长家	0	1	0	0	0	0	0	0	0
76	水帘洞	0	1	0	0	0	0	0	0	0
77	凌霄宝殿	0	1	0	0	0	0	0	0	0
78	兜率宫	0	1	0	0	0	0	0	0	0
79	月宫	0	0	0	0	0	3000	55	0	0
80	广寒宫	0	1	0	0	0	0	0	0	0
81	大象洞	0	1	0	0	0	0	0	0	0
